"";"no_razao";"raiz";"Total_por_raiz"
"132";"EXPRESSO PREDILETO TRANSPORTES LOGISTICA E ARMAZENAGEM LTDA EPP";29863420;2095664,68
"133";"MFB MARFRIG FRIGORIFICOS BRASIL S A";4748631;2078253,56
"134";"STEEL CANS INDUSTRIA DE METAIS EIRELI";12016067;2077550,39
"135";"TECFLUX LTDA";60933017;2075295,2
"136";"SKY SERVICOS DE BANDA LARGA LTDA";497373;2074713,88
"137";"ALCOOL QUIMICA CANABRAVA S/A";5627254;2071327,41
"138";"USILIDER INDUSTRIA E COMERCIO DE USINAGEM LTDA";957194;2036511,9
"139";"TEMPERMIX COMERCIAL DE ALIMENTOS EIRELI";10243792;2003691,5
"140";"A D G DE JESUS TRANSPORTES LTDA";5014171;1996479,17
"141";"BELMARK INDUSTRIA LTDA";22478735;1990577,87
"142";"RCA COMPANY DE TELECOMUNICACOES DE NOVA FRIBURGO LTDA";5013234;1986691,77
"143";"ARJ MINERADORA LTDA";10785311;1958596,54
"144";"EMPORIO DO DISPLAY INDUSTRIA E COMERCIO LTDA";5660723;1951830,48
"145";"LABORATORIO SIMOES LTDA";33379884;1949303,12
"146";"ADIMETAL SERRALHERIA E CENOGRAFIA EIRELI ME";13768969;1925134,74
"147";"HAHNSTADT IMMUNOTECH FARMACIA DE MANIPULACAO EIRELI EPP";11028251;1922706,47
"148";"TRIGOVITA LTDA-ME";3149223;1920962,91
"149";"YPF BRASIL COMERCIO DE DERIVADOS DE PETROLEO LTDA";3972433;1886395,4
"150";"ELETRO RIO INDUSTRIA E COMERCIO DE CABOS E FIOS EIRELI ME";20705041;1874204,23
"151";"TECHNOPACK INDUSTRIA E COMERCIO DE EMBALAGENS PLASTICAS LTDA";12052652;1867670,98
"152";"JC THEDIN TRANSPORTES LTDA";6979577;1852861,13
"153";"FLY BY NIGHT COMERCIO E CONFECCOES LTDA";4809564;1849792,9
"154";"PAQUETA CALCADOS LTDA";1098983;1807396,67
"155";"PERFUMARIA MARCIA LTDA";40166597;1805408,72
"156";"CONCORDIA LOGISTICA S A";8628629;1802721,92
"157";"TRANSPORTES DALCOQUIO LTDA";84300540;1794285,77
"158";"ROGRANE INDUSTRIA E PARTICIPACOES LTDA";4096296;1793358,26
"159";"SIMARIDA COMERCIAL DE MODAS LTDA";11457550;1774861,35
"160";"NOVA MICHELAN TRANSPORTES LTDA - EPP";72837;1774788,56
"161";"IRAJA COMERCIO DE OLEOS E GORDURAS EIRELI EPP";24994898;1769367,7
"162";"PLASTICO E METAIS MACABU LTDA";7201550;1738507,1
