"";"no_razao";"raiz";"Total_por_raiz"
"5504";"JOATINGA BRANDS S A";11894816;9557,63
"5505";"MALUFRAN COM DE ROUP DE CAMA MESA BAN E ART P/USO DOMESTICO LTDA";14732634;9557,1
"5506";"BROZ ASSEMBLEIA RESTAURANTE LTDA";18825006;9551,31
"5507";"MERCEARIA ROSA DO POVO LTDA ME";68667773;9548,09
"5508";"KFW COMERCIO E SERVICOS LTDA";5674762;9545,43
"5509";"JJR SHEKINAH COMERCIO DE BIJUTERIAS LTDA-ME";7091594;9542,31
"5510";"JP ACOUGUE MERCEARIA E LANCHONETE EIRELI";25269352;9538,06
"5511";"CARIOCA 4 HORTIFRUTI COPACABANA LTDA";20847502;9533,74
"5512";"RIO COLOR LABORATORIO FOTOGRAFICO LTDA";39113857;9531,61
"5513";"NLXV EQUIPAMENTOS PARA GASES LTDA";17080696;9529,67
"5514";"ORTHO SPINE COMERCIO DE MATERIAL HOSPITALAR LTDA ME";8656475;9528,18
"5515";"ARTE MONTECHI DECORACOES E MOVEIS LTDA";6287986;9511,18
"5516";"EMPRESA GRAFICA O CRUZEIRO S/A";33529124;9500
"5517";"AEROMEC REPAROS ELETROMECANICOS LTDA EPP";8154949;9489,74
"5518";"DROGARIA CARDIO NIT LTDA EPP";7133897;9489,45
"5519";"DERLI PINTO MOVEIS";29927092;9484,7
"5520";"MERCADO T & T IRMAOS SOARES LTDA";18299261;9476,7
"5521";"FAZARTE COMUNICACAO VISUAL LTDA";1466258;9469,33
"5522";"HIGH FLEX DO BRASIL LTDA";2781882;9467,12
"5523";"TROPICOS SUSHI RESTAURANTE EIRELI";21975486;9457,38
"5524";"IGUACU COMERCIO DE PNEUS E SERVICOS AUTOMOTIVOS EIRELI";15304575;9455,11
"5525";"BARRATEC ASSISTENCIA TECNICA DE EQUIPAMENTOS ODONTOLOGICOS LTDA";7081404;9453,92
"5526";"J C DE FRIBURGO TELECOMUNICACOES LTDA-ME";4047240;9449,8
"5527";"F V MACHADO & FILHOS LTDA";32206146;9449,41
"5528";"J R C AZEREDO-ME";2241010;9448,86
"5529";"AUGUSTO EUGENIO MORET BARCELOS";29031192;9448,02
"5530";"COMERCIAL BIERGES LTDA";40160459;9447,81
"5531";"S I MERCADO DA FAMILIA II LTDA";7510059;9444,86
"5532";"LD - SERVICOS DE FRANQUIAS E COMERCIO LTDA";10803601;9438,57
"5533";"SABORES E FRIOS EIRELI";24078242;9435,6
"5534";"CONNECT SOLUCOES EMPRESARIAIS LTDA ME";13474560;9433,98
"5535";"MERCADO CASTANHA LTDA";20657396;9430,94
"5536";"PADARIA E CONFEITARIA CRISPIM LTDA";28763696;9430,46
"5537";"FAENZA BARRA BAR E RESTAURANTE LTDA";9911909;9425,4
"5538";"V VEICULOS LTDA";36061620;9421,6
"5539";"INCESP INDUSTRIA E COMERCIO DE ESPONJAS LTDA ME";7685189;9419,15
"5540";"META CONSTRUCOES LTDA";12261247;9410,35
"5541";"CEREALISTA BELA SAFRA RIO EIRELI - EPP";22752020;9408,95
"5542";"EMPORIO DO SABOR ALIMENTOS LTDA";3025890;9406
"5543";"M S SOLUCOES EM TECNOLOGIA LTDA";28186757;9402,63
"5544";"CERTA MATERIAL ELETRICO LTDA";28569317;9397,29
"5545";"KELVIN ROUPAS LTDA";32351017;9395,81
"5546";"AGUAS BANDEIRANTES DISTRIBUIDORA DE AGUA POTAVEL LTDA ME";19706887;9394,9
"5547";"OH GLORIA DE CAXIAS LTDA ME";22278131;9389,2
"5548";"SOLVEZAN RJ COMERCIO DE SOLVENTES LTDA ME";17773084;9382,24
"5549";"ENOVA FOODS S.A.";46948287;9364,62
"5550";"RE 13 CONFECCAO E COMERCIO DE ROUPAS EIRELI ME";18754693;9363,39
"5551";"MARMORARIA TUGAPAN LTDA";30293559;9362,34
"5552";"PALI II COMERCIAL E EMBALAGENS LTDA";3474664;9349,66
"5553";"COISA & TAL DE MADUREIRA PAPELARIA E BAZAR LTDA";9287138;9349,48
"5554";"MESSI CAR VEICULOS LTDA";8876870;9348
"5555";"JERE PRODUTOS QUIMICOS LTDA ME";11634777;9345,41
"5556";"TRANSPORTES NIQUINI LTDA";16848731;9341,44
"5557";"KR TRANSPORTES E LOGISTICA LTDA";5597965;9338,49
"5558";"PINA S AUTOMOVEIS LTDA";42256909;9336,79
"5559";"FLORESTA CARIOCA BAR E RESTAURANTE LTDA";97528402;9332,05
"5560";"THADEUZ INDUSTRIA E COMERCIO DE ROUPAS LTDA";32578114;9318,63
"5561";"OSLO SUCOS E LANCHES LTDA ME";3801102;9317,56
"5562";"CWA MARCENARIA E ARQUITETURA LTDA-ME";18638407;9312,61
"5563";"LV OLIVEIRA VEICULOS ME";10322831;9311
"5564";"KINI TRANSPORTES E LOGISTICA EIRELI";15473133;9287,23
"5565";"MERCADO 24 HORAS DA ROCINHA LTDA";23672895;9275,67
"5566";"GOLDEN SERVICE MATERIAIS DE LIMPEZA LTDA";14034919;9274,29
"5567";"DANNY COMERCIO VAREJISTA DE OCULOS LTDA";28219558;9268,88
"5568";"AMLOGTRANS TRANSPORTES & LOGISTICA LTDA-ME";187350;9261,8
"5569";"LOJA DE CONVENIENCIA E COMERCIO VAREJISTA DE BEBIDAS SANTA CLARA";7133452;9259,49
"5570";"DUPLO ALFA CONSULTORIA SERVICOS E SOLUCOES LTDA ME";21818937;9248,68
"5571";"BLOW UP FOTO SHOP LTDA";86903531;9232,98
"5572";"IRITEL COMERCIO E SERVICOS LTDA ME";2098122;9226,2
"5573";"ATCLLOR QUIMICA DO BRASIL LTDA EPP";22579541;9224,31
"5574";"DOPOMAR COMERCIO ATACADISTA DE ALIMENTOS IMP E EXP LTDA";13037713;9203,05
"5575";"MANOEL S BRASIL FILHO";2451855;9198,85
"5576";"UNIMED DE MACAE COOPERATIVA DE ASSISTENCIA A SAUDE";35830868;9198,72
"5577";"DOCE HARMONIA CONFECCAO DE VESTUARIOS LTDA ME";9073326;9189,89
"5578";"CAFE E BAR MALVINO REIS LTDA";33498916;9181,49
"5579";"VERITE MODE COMERCIO DE ROUPAS LTDA";15504198;9179,35
"5580";"ANA MARIA RODRIGUES DOS SANTOS - ME";9650044;9177,13
"5581";"GOLDEINOX INDUSTRIA, COMERCIO E REPRESENTACAO COMERCIAL LTDA";14546415;9171,93
"5582";"TREVO LOCAR TRANSPORTES LTDA EPP";2412371;9169,06
"5583";"CANTO E YONG FOREVER CONFECCAO LTDA ME";856030;9168,5
"5584";"PADARIA CONFEITARIA E LANCHONETE BELLA RIO LTDA ME";1669636;9165,44
"5585";"SUPER AUTO COMERCIO DE VEICULOS LTDA-ME";985882;9156,06
"5586";"HF GRUPO HOTELEIRO LTDA";15288198;9153,18
"5587";"VEC COMERCIO DE ELETRO-ELETRONICOS LTDA";6306787;9146,33
"5588";"BACABAL TRANSPORTES E SERVICOS LTDA";939163;9142,93
"5589";"RIO COURO ART E COMERCIO LTDA ME";19317461;9128,82
"5590";"E C FARIA RANGEL E DROGARIA LTDA";7978622;9127,82
"5591";"M2TRADE IMPORTACAO EXPORTACAO E LOGISTICA EIRELI EPP";22768467;9108,25
"5592";"GAMA RABELLO COMERCIO DE BIJUTERIAS E ACESSORIOS LTDA ME";13711168;9099,65
"5593";"VERONICA MORGADO SILVA";2499828;9096,7
"5594";"AURANTIS INDUSTRIA FARMACEUTICA LTDA";10568345;9095,05
"5595";"DROGA FAMA LTDA";20738773;9092,5
"5596";"TOP BYJU EIRELI ME";5768690;9091,6
"5597";"H MELQUIDES PLACAS & ADESIVOS LTDA";10800377;9091,4
"5598";"TRANSPORTE RAIZES EIRELI ME";1329669;9089,51
"5599";"DUCABE MATERIAL DE CONSTRUCAO LTDA";18298410;9087,47
"5600";"R M M CABRERA ME";15301844;9083,1
"5601";"RANBAXY FARMACEUTICA LTDA";73663650;9080,14
"5602";"J J FILHO CENTRO AUTOMOTIVO LTDA - ME";20360201;9070
"5603";"PANESUL INDUSTRIAS DE ALUMINIO LTDA ME";7578090;9069,89
"5604";"BUONO GUSTO COMERCIO DE ALIMENTOS LTDA";12889158;9052,73
"5605";"MAGO DAS TELHAS COM VAREJISTA DE MATERIAIS DE CONSTRUCAO LTDA ME";12275025;9050,19
"5606";"JARDIM NATURAL PRODUTOS DE BELEZA LTDA";28311702;9045,83
"5607";"GALETO FORMULA 2 LTDA";42408054;9041,83
"5608";"DROGARIA CANTO DA SAUDE LTDA";12216147;9041,34
"5609";"DROGARIA JAPORANGRA LTDA-ME";10277320;9037,23
"5610";"LE PAUTHA MANUFATURA DE PAPEIS EIRELI";12566460;9031,54
"5611";"MERCEARIA ESTRELA DO BAIRRO SALVADOR - EIRELI";8916767;9025,18
"5612";"J F FARINHA AUTO ONIBUS LTDA";9431961;9021,2
"5613";"AMAZON AQUARIO ARTE E DECORACAO LTDA(ME)";9015077;9017,91
"5614";"INTERGROUP DISTRIBUICAO COMERCIO E SERVICOS LTDA";5931781;9014,62
"5615";"XKPET ACESSORIOS PARA ANIMAIS LTDA ME";13912646;9013,59
"5616";"MARVI ARTIGOS RELIGIOSOS LTDA ME";14567529;9012,57
"5617";"TECNOVENDAS ENGENHARIA DE SISTEMAS LTDA";13007411;9010,11
"5618";"ACOUGUE E MERCEARIA BIFAO 2016 EIRELI";24478068;9001,53
"5619";"KISKA MODAS LTDA ME";30846000;9001,23
"5620";"METALLBRAS COMERCIO E SERRALHERIA EIRELI ME";26517455;8997,57
"5621";"MONTSERRAT TRANSPORTE AGENCIA MARITIMA LTDA - EPP";17615463;8993,91
"5622";"SOMOLAS COMERCIO DE MOLAS LTDA";31323942;8991,48
"5623";"DC AMERICAS COMERCIO DE ALIMENTOS LTDA";19385930;8990,01
"5624";"DELICIAS VIP LANCHES LTDA";8517539;8982,28
"5625";"ZYVER BOUTIQUE MULTIMARCAS COMERCIO DE ROUPAS LTDA-ME";18654272;8975,19
"5626";"G R MATERIAL DE CONSTRUCAO SANTA CRUZ LTDA";659588;8966,98
"5627";"LATICINIOS RIO DAS OSTRAS PADARIA E CONFEITARIA LTDA";13034716;8960,43
"5628";"WINEBRANDS COMERCIAL E IMPORTADORA DE BEBIDAS E ALIMENTOS LTDA";10494067;8953,95
"5629";"PANIFICADORA PAO QUENTE LTDA ME";19188665;8949,56
"5630";"A MAIS RESTAURANTE E LANCHONETE LTDA";14692075;8948,89
"5631";"MERCADO DO VILA CEREAIS E MERCEARIA EIRELI";27285260;8941,01
"5632";"EDITORA CENTRAL GOSPEL LTDA";3147650;8934,2
"5633";"L G H EMPREENDIMENTOS COMERCIAIS EIRELI ME";26061062;8913,78
"5634";"BAZAR DE UTILIDADES RIO DA PRATA LTDA";10416913;8913,56
"5635";"B&M COMERCIO E SERVICOS DE ARTIGOS DE VIDRO LTDA";18685508;8900,04
"5636";"CITY CARNES JARDIM GRAMACHO MERCEARIA E LANCHONETE LTDA EPP";19086547;8898,37
"5637";"METRO QUADRADO MARCENARIA LTDA ME";14709645;8893,58
"5638";"INDIGO BEND COMERCIO E INDUSTRIA DE ROUPAS LTDA";8427669;8891,46
"5639";"VITOR LOPES DE SOUZA ME";7246874;8882,76
"5640";"RIFE ARTIGOS MILITARES LTDA ME";6241732;8882,41
"5641";"NOVA TEMAKI NITEROI BAR E RESTAURANTE LTDA";22711115;8874,68
"5642";"CRISALE VEICULOS - EIRELI";10709056;8871,1
"5643";"POLONINI E AUGUSTO DISTR E VENDAS DE PRODUT EROTICOS LTDA";4893165;8867,44
"5644";"CTIS TECNOLOGIA S/A";1644731;8867,41
"5645";"MAKAU CONFECCOES LTDA ME";30881999;8862,88
"5646";"CLUBE DAS BATERIAS E ACESSORIOS EIRELI ME";12646339;8847,9
"5647";"BBR IMPORTACAO E EXPORTACAO LTDA";7397294;8845,03
"5648";"ABRANTELL OBRAS E SERVICOS LTDA ME";18160571;8844,9
"5649";"MICRON COMERCIO DE PAPELARIA E UTILIDADES DO LAR LTDA ME";72174576;8842,4
"5650";"H L A BORRACHEIRO LTDA";258834;8824,51
"5651";"MARIZIA DA VILA DA PENHA CONVENIENCIA LTDA-ME";10226455;8824,12
"5652";"SOL E DUNAS CONSULTORIA E COSNTRUCOES LTDA";1089965;8815,69
"5653";"RIO KOREA VEICULOS - EIRELI";22059690;8815,37
"5654";"LANCHONETE PRESLEY LTDA";29463205;8814,35
"5655";"POINTEX COMERCIO DE TECIDOS LIMITADA";2871213;8807
"5656";"A V BOCHAT PECAS E ACESSORIOS";321255;8804,75
"5657";"PANIFICACAO BRASILIA LTDA";31666266;8797,19
"5658";"SOL VINIL DISTRIBUIDORA LTDA";1590276;8796,48
"5659";"UNIRIO LOGISTICA E DISTRIBUICAO DE PRODUTOS AUTOMOTIVOS LTDA";7982773;8790,87
"5660";"GRACA DO JARDIM GUANABARA RESTAURANTE LTDA";21169616;8785,36
"5661";"SUPORTE HOSPITALAR LTDA EPP";73857393;8783,15
"5662";"J V COMERCIO E TRANSPORTE DE FLORES E PLANTAS LTDA ME";7569241;8778,86
"5663";"LEVEL UP GASTRONOMIA SAUDAVEL LTDA -ME";19824625;8769,47
"5664";"LUZBELLA PRODUTOS DE BELEZA LTDA";7654750;8766,86
"5665";"NOVO AUTO POSTO SANTA MONICA LTDA";21093376;8764,4
"5666";"PADARIA E DISTRIBUIDORA DE ALIMENTOS ROSA DE SAROM DE CABO FRIO";3751747;8762,11
"5667";"IVALDEIS BAZAR LTDA ME";68795087;8757,17
"5668";"TRANSTURISMO TRANSPORTADORA ORIENTAL LTDA";31918535;8745,78
"5669";"ELIANDRA F DA SILVA LANCHONETE ME";2606793;8743,76
"5670";"SICAL MACAE SOCIEDADE INDUSTRIAL E COMERCIAL LTDA";4940913;8741,36
"5671";"DISTRIBUIDORA DE ALIMENTOS ABREU DE RIO BONITO LTDA ME";5054856;8740,85
"5672";"CAFAM MODAS LTDA";39137625;8724,34
"5673";"VIDA AQUATICA AGROPECUARIA EIRELI ME";12419623;8723,37
"5674";"MAXFIX LTDA";4811756;8718,77
"5675";"ACCIONA INFRAESTRUCTURAS S/A";3503152;8715,74
"5676";"BOM PRECO COMERCIO DE ALIMENTOS TDA - ME";15403908;8714,49
"5677";"M S SAMPAIO SALGADOS E DOCES LTDA ME";15520899;8713,14
"5678";"EQUIPO LOG COMERCIO E SERVICOS EIRELI ME";10702605;8711,61
"5679";"DONATELLE CONGELADOS LTDA";7065375;8707,8
"5680";"ANGELA MARIA DA SILVA NHAVIDA";11109887;8707,22
"5681";"FRANCISCO V DE OLIVEIRA - BAR E LANCHONETE";16584149;8690,35
"5682";"UMUMA COMERCIO DE ALIMENTOS LTDA";40229296;8686,08
"5683";"MERCADINHO CASTELO DA ECONOMIA LTDA";31863921;8680,55
"5684";"VIAMAR VEICULOS, PECAS E SERVICOS LTDA";2020620;8675,85
"5685";"GALETO RIO AVE LTDA";42400713;8674,56
"5686";"RESTAURANTE DELICIA DE PRATO UNICO LTDA";18801876;8667,38
"5687";"UP ASSET BOTAFOGO HOTEL LTDA";17065907;8664,23
"5688";"MERCADO A L 2010 LTDA";10905954;8658,6
"5689";"COMERCIO DE GAS UNIAO DE TRIBOBO LTDA ME";10329371;8658,3
"5690";"MARVIN MATERIAL DE CONSTRUCOES LTDA ME";5912532;8650,6
"5691";"ORIENTE CONSTRUCAO CIVIL LTDA";1127106;8640,21
"5692";"UNIPE INDUSTRIA E COMERCIO LTDA";2901843;8636,56
"5693";"ENGENHO DA LAGOA BAR E RESTAURANTE LTDA";42144758;8629,63
"5694";"MERCADINHO IMPERIAL DE BENTO RIBEIRO EIRELI";23601432;8629,32
"5695";"A C R CONFECCOES LTDA";2125562;8617,82
"5696";"SUG COMERCIO E ARTEFATOS DE COUROS LTDA";326773;8613,14
"5697";"POSTO DE GASOLINA MERCADAO DE MADUREIRA LTDA";14128262;8609,55
"5698";"THRUSTMASTER DO BRASIL LTDA";12469454;8608,97
"5699";"NEW JET GERENCIAMENTO DE RESIDUOS LTDA";15014220;8603,14
"5700";"MOITINHO COMERCIO DE BOLSAS LTDA";33118779;8590,52
"5701";"SANTA CATARINA DOCES E SALGADOS LTDA EPP";19190754;8584,05
"5702";"GPA REPRESENTACOES COMERCIAIS EIRELI ME";15575048;8578,71
"5703";"R&A GONCALENSE ESTRUTURA METALICA LTDA";2095132;8577,91
"5704";"K-2 MILLENIUM COMERCIO DE UNIFORMES LTDA";9026414;8574,33
"5705";"TRANSXILLEU TRANSPORTES RODOVIARIOS LTDA";9306257;8573,79
"5706";"RESTAURANTE GRANDO LTDA";4432247;8573,11
"5707";"ELOGOLD COMERCIO E INDUSTRIA LTDA";20422311;8568,14
"5708";"A COSTA MOVEIS LTDA";27625565;8563,65
"5709";"RCG COMERCIO DE ROUPAS LTDA - EPP";19052738;8559,64
"5710";"CONNECT COMERCIO E TELEFONIA LTDA ME";12782424;8556,41
"5711";"LIDER TAXI AEREO S/A AIR BRASIL";17162579;8548,74
"5712";"SABOTAGE TIJUCA COMERCIO LTDA";4075525;8539,31
"5713";"MERCEARIA ECLIPSE DO CESARAO LTDA";5262107;8535,71
"5714";"FIBERGIL FABRICACAO COMERCIO E REPAROS DE CARROCERIAS LTDA ME";15089282;8532,84
"5715";"WRS TRANSPORTES LTDA";73278749;8524,5
"5716";"SUPERMIX CONCRETO S/A";34230979;8524,05
"5717";"GEMINI N I SISTEMAS DE COMPUTADORES LTDA";2701961;8523,92
"5718";"PADARIA, CONFEITARIA E CYBER CABE ITAGUAI EIRELI ME";19796166;8522,72
"5719";"LUALPER COMERCIO DE VIDROS E SERRALHERIA LTDA ME";31901317;8505,07
"5720";"RIO DISTRIBUIDORA DE BEBIDAS LTDA";12203392;8503,74
"5721";"A ORIGINAL ARTEFATOS DE COURO LTDA";33035098;8501,23
"5722";"GRAN PALATO REFEICOES LTDA";6248358;8498,59
"5723";"STAR INFO SERVICOS DE INFORMATICA LTDA -ME";63069;8494,3
"5724";"PADARIA CONFEITARIA E BAR PROGRESSO LTDA";30810121;8486,45
"5725";"PASSAGEM 111 COMERCIO DE DOCES E SALGAOS LTDA";23122425;8485,23
"5726";"RIMONT COMERCIO E BAZAR LTDA ME";40375743;8483,68
"5727";"TRADIMAQ LTDA";22320881;8483,19
"5728";"AUTO SERVICO ROCAR RIO LTDA";42350785;8480,15
"5729";"RAPIDO MAXEXPRESS LTDA";5440711;8474,77
"5730";"MARKBIS MERCADINHO LTDA";14264268;8469,05
"5731";"MOLDUSUL INDUSTRIA E COMERCIO DE MOLDURAS LTDA EPP";4412699;8461,35
"5732";"AM PNEUS DISTRIBUIDORA DE BARRA MANSA LTDA";10882131;8459,43
"5733";"BM RJ INDUSTRIA E COMERCIO DE ROUPAS LTDA";26752380;8458,59
"5734";"SOBERANA DISTRIBUIDORA DE PRODUTOS ALIMENTICIOS LTDA";24341188;8433,53
"5735";"AMBIENT AIR AR CONDICIONADO LTDA";42493940;8431,65
"5736";"DROGARIA CASA DO REMEDIO LTDA ME";7607221;8427,41
"5737";"DISTRIBUIDORA DE ALIMENTOS SAO CONRADO PEDRA BONITA LTDA";4931553;8424,16
"5738";"JOYCE DA SILVEIRA ESPINDOLA MATERIAIS DE CONSTRUCAO";18226815;8412,54
"5739";"BRASIL COMERCIO DISTRIBUICAO E LOGISTICA EIRELI";11446223;8404,4
"5740";"G8 PARTICIPACOES LTDA";17005883;8400,64
"5741";"MASTER FOOD CABO FRIO LANCHONETES LTDA";18700235;8394,61
"5742";"TOP BRASIL CONFECÇÕES EIRELI EPP";514272;8384,06
"5743";"MOTEL STAR LTDA";42197152;8382,81
"5744";"POSTO F1 RACING LTDA";3922066;8381,44
"5745";"PADARIA E LANCHONETE PRINCESA DA VILA LTDA EPP";14011900;8367,23
"5746";"SORVETERIA SENSACAO DA PENHA LTDA ME";10469845;8365,03
"5747";"PAINEIRAS BOTAFOGO COMERCIO DE ALIMENTOS LTDA";27169078;8362,62
"5748";"BRUNO TAVARES ROQUE PNEUS E RODAS";14271828;8348,86
"5749";"LA FABRICA IMEX FRANQUIAS E COMERCIO EXTERIOR LIMITADA";7229612;8343,05
"5750";"ALADIN RESTAURANTE CAMPINAS SA";20165554;8336,23
"5751";"BEIRUTE EIRELI";26544482;8335,46
"5752";"MERCEARIA EURO CARNES LTDA ME";36468106;8326,95
"5753";"RECANTO ESCONDIDO EVENTOS E BUFE LTDA ME";4859059;8324,2
"5754";"M P A DA SILVA AUTO PECAS";10948837;8317,49
"5755";"POSTO DE ABASTECIMENTO SANTA FILOMENA LTDA";19238705;8313,2
"5756";"D M S PADUA ARTEFATOS DE CIMENTO LTDA";1819299;8312,37
"5757";"CAMPO GRANDE POINT SUPER LANCHES LTDA";1640719;8311,85
"5758";"POSTO SANTA ROSA LTDA";27630193;8309,73
"5759";"G W R COMERCIO S/S LTDA ME";9202191;8304,6
"5760";"A W SOLUTIONS REFEICOES LTDA - ME";9596535;8294,47
"5761";"ALIANCA COMERCIO IMPORTACAO E EXP DE PROD MANUFATURADOS LTDA";10718640;8294,02
"5762";"MERCEARIA JARDIM DO LETICIA LTDA ME";730750;8289,15
"5763";"CAFE E BAR NENEM DE RAMOS LTDA";2458949;8288,52
"5764";"PET GARDEN ICARAI SERVICOS VETERINARIOS LTDA ME";7224332;8286,36
"5765";"ORQUIDEA TINTAS LTDA";7734762;8284,03
"5766";"CASSIO MODAS LTDA EPP";277807;8283,94
"5767";"MINIMERCADO E PADARIA OLIVEIRAO DE TERESOPOLIS LTDA";8362815;8283,02
"5768";"REMARGRAN REVESTIMENTOS DE MARMORES E GRANITOS LTDA";42204024;8281,02
"5769";"DISTRIBUIDORA UNICA RIO LTDA";12007184;8260,65
"5770";"GIANNINI COMERCIO DE ALIMENTOS E BEBIDAS LTDA";18774126;8258,69
"5771";"STARPOINT COMERCIO E SERVICOS TECNICOS LTDA - ME";68765866;8253,71
"5772";"ARTEMAC ARTEFATIS DE CIMENTO E MATERIAL DE CONSTRUCAO LTDA";36282580;8251,55
"5773";"J T INDUSTRIA E COMERCIO DE PAPEL - EIRELI";26049949;8248,96
"5774";"PCX EQUIPAMENTOS PARA GASES LTDA";17080731;8248,42
"5775";"DP BRASIL ENTRETENIMENTOS, ALIMENTACAO E EVENTOS LTDA - EPP";3461434;8245,52
"5776";"JASSIARA COSTA CARVALHO ME";6054283;8241,49
"5777";"PARALELO 35 IMPORTACAO, EXPORTACAO E COMERCIO LTDA";5262059;8239,21
"5778";"PATRIOTA ENGENHARIA EIRELI EPP";10293846;8237,67
"5779";"MERCEARIA LAMIR VR LTDA-ME";4686981;8236,49
"5780";"TATIANA C MAIA BAR E RESTAURANTE ME";19389842;8232,24
"5781";"PONTA DE AREIA MODA PRAIA LTDA-ME";21393284;8229,34
"5782";"ANITA DA SILVA SANTANA";30803282;8222,69
"5783";"MELLO & AZEVEDO TRANSPORTE TURISTICOS LTDA ME";11410076;8222,04
"5784";"AUTO POSTO ESAL LTDA";2409350;8216,42
"5785";"TRETTIORE COMERCIO WEB LTDA";10779001;8215
"5786";"PAIS E FILHOS MATERIAIS DE CONSTRUCAO LTDA ME";4212706;8214,91
"5787";"LINDA LOJA DE CONVENIENCIA LTDA ME";16884472;8211,85
"5788";"HOTEL FAZENDA VILAREJO LTDA";39561170;8208,77
"5789";"ID ARMAZENS GERAIS LTDA";14564469;8208
"5790";"AFIADORA RIO COMERCIO DE FACAS E FERRAMENTAS LTDA EPP";7248408;8199,24
"5791";"M.A TERÊ GASTRONOMIA LTDA";26734634;8186,57
"5792";"TRANSMONTEIRO LTDA";996024;8185,72
"5793";"RESTAURANTE E PIZZARIA PAULISTA LTDA ME";16784926;8184,54
"5794";"HOT SHOES 206 CALCADOS LTDA ME";16952330;8179,83
"5795";"OMEGA ARTIGOS ESPORTIVOS EIRELI EPP";17990674;8169,45
"5796";"RECREIO 103 CONFECCOES LTDA ME";12276605;8157,76
"5797";"M H M OLIVEIRA PNEUS";3473608;8156,7
"5798";"COMERCIAL FOURWAYS SERVICOS EIRELI EPP";35783794;8156,5
"5799";"FUSCO-MOTOSEGURA IMPLEMENTOS RODOVIARIOS LTDA";6007487;8154,55
"5800";"ALFA DOCES DE XEREM COMERCIO DE PRODUTOS ALIMENTICIOS EIRELI";23865365;8147,22
"5801";"HOTEL NOBRE LTDA";29357183;8142,76
"5802";"D'ALMAC REFORMA E MANUTENCAO DE BOMBAS DE GASOLINA LTDA";32295990;8138,5
"5803";"RECANTO DOS BICHOS COM E SERV PROD ANIMAIS LTDA ME";7077559;8138,29
"5804";"RIBEIRO & SATHLER SOLUCOES EM INFORMATICA LTDA ME";1984336;8131,75
"5805";"SECURI LARM SEGURANCA ELETRONICA E INFORMATICA LTDA ME";7727505;8131,21
"5806";"GRENDENE S/A";89850341;8124,46
"5807";"M&B 01 RESTAURANTES LTDA";23472717;8121,52
"5808";"CWMPA RESTAURANTE EIRELI ME";23614289;8115,89
"5809";"CLAUDIO OCTAVIO MOTHE RIBEIRO ALVES";12457580;8113,15
"5810";"FRZC COMERCIO, REPRESENTACOES E EMPREENDIMENTOS AGROPECUARIOS LT";9061066;8109,12
"5811";"TELECOMUNICACOES BRASILEIRAS S A";336701;8107,02
"5812";"LIV MULTIMARCAS COMERCIO DE ROUPAS LTDA - ME";20496569;8104,55
"5813";"J & J OTICA E ACESSORIOS DE JACAREPAGUA EIRELI ME";22095369;8101,05
"5814";"F2ML PRODUTOS ALIMENTICIOS LTDA";6162683;8097,32
"5815";"MACCOMEVAP IND COM DE TEC EM ILUMINACAO E SERV ELETRON LTDA";4316457;8094,77
"5816";"E & L COLLE COM DE GEN ALIMENT E BEBIDAS LTDA";7440444;8094,35
"5817";"STOOMP MODAS LTDA";2257031;8082,93
"5818";"D L DE CARVALHO MUNIZ ME";10940976;8069,94
"5819";"ARMARINHO E BAZAR ABA LTDA";29284049;8066,96
"5820";"ERNANDO DE PAULA RIBEIRO MERCEARIA";4353690;8063,7
"5821";"ROSMARTEX MODAS LTDA ME";3859540;8063,4
"5822";"PUB DA GEMA RESTAURANTE LTDA ME";22350282;8062,92
"5823";"ELLEVER DISTRIBUIDORA DE COMESTICOS EIRELI - EPP";21958168;8047,07
"5824";"ATHLETIC WAY COM DE EQUIP PARA GINASTICA E FISIOTERAPIA LTDA";86736568;8045,85
"5825";"COMMAT COMERCIO DE MAQUINAS LTDA";73390478;8044,24
"5826";"ARBOR MARCENARIA E COMERCIO DE MOVEIS LTDA";14024614;8040,9
"5827";"F TROCCOLI JUNIOR COMERCIO DE ALHO";11720514;8034,44
"5828";"ARCLAN RIO IMPORTACAO E EXPORTACAO LTDA";11504662;8032,28
"5829";"DU VICPOX-TECNOLOGIA DE PINTURAS ELETROSTATICA LTDA";5011084;8024,31
"5830";"A BERINGER 14 MERCEARIA LTDA";5941416;8016,41
"5831";"LORREM COMERCIO E CONFECCOES LTDA ME";12202038;8012,79
"5832";"CARTOES REI DA BARRA LTDA";7663815;8000
"5833";"BRAND MOVEIS E DECORACOES EIRELI EPP";11117542;7993,12
"5834";"VSG VISION SOLUTIONS GROUP EIRELI";5156333;7987,02
"5835";"DCSTEEL COMERCIO E REPRESENTACOES LTDA EPP";2194127;7980
"5836";"LU MAPE - MODAS INFANTIS LTDA EPP";4687153;7969,3
"5837";"CRONO LOGICA TELEFONIA AVANCADA DE VOLTA REDONDA LTDA";3685001;7968,34
"5838";"SELENE COMERCIO DE MAT DESCARTAVEIS LTDA";8306007;7967,69
"5839";"BLUE PRINT GRAFICA EDITORA LTDA";6014938;7961,88
"5840";"VERONA INDUSTRIA, COMERCIO E SERVICOS LTDA";1883997;7956,23
"5841";"BANDEMAR COMERCIO IMP E EXP DE PEDRAS EM GERAL LTDA";8641586;7955,1
"5842";"KAPAZI INDUSTRIA E COMERCIO DE CAPACHOS LTDA";80051824;7949,67
